1.691795558;0.169642771;0.966732074;572097.133;-498263.935;24.5998661;645259.6435;645259.6435;42981.7388;921.326218
1.668086621;0.178230937;0.962091874;598424.917;-519628.439;25.7211804;652941.6629;652941.6629;44824.7049;963.725448
1.830026425;0.194964981;0.993154912;692316.652;-596940.407;29.0445643;415799.436;415799.436;51493.8668;1114.93214
1.993684229;0.233469785;0.856639821;885890.297;-786464.288;29.9999272;464093.477;464093.477;67842.7642;1426.67024
1.505593579;0.230703998;0.866888544;748239.255;-648767.363;29.999198;426067.6556;426067.6556;55964.6152;1204.99196
1.973983768;0.214956645;0.930405207;805117.598;-705235.868;29.9995172;446103.9863;446103.9863;60835.7574;1296.59093
1.741014189;0.242298826;0.825424727;852277.457;-752969.945;29.9999163;452964.0049;452964.0049;64953.4419;1372.53889
1.661812058;0.176078718;0.96086595;589572.127;-512340.502;25.3782067;650240.6564;650240.6564;44196.0257;949.468589
1.775209443;0.190602937;0.982843637;664669.525;-574200.705;28.0999326;675097.6938;675097.6938;49532.272;1070.4082
1.67997519;0.224186814;0.892093237;769519.559;-669903.758;29.9993312;433421.752;433421.752;57787.9039;1239.26254
2.363461136;0.17994364;0.999999006;738520.064;-653288.551;26.9915192;425598.1458;425598.1458;56354.6263;1189.33981
2.06045572;0.214333261;0.933115142;822970.756;-723067.737;29.9996417;451448.5173;451448.5173;62373.9879;1325.34231
1.927971166;0.174054202;0.99997308;631159.117;-550094.449;26.1074274;663813.9691;663813.9691;47452.7941;1016.44181
1.562947011;0.1768737;0.941318203;573647.404;-498481.396;24.974165;645150.8692;645150.8692;43000.4977;923.822832
2.344256184;0.184931068;0.999998951;756426.081;-667561.924;27.739631;432116.376;432116.376;57585.8902;1218.17632
2.347769146;0.173714309;0.999998914;708562.82;-627730.513;26.0571181;684473.774;684473.774;54149.9135;1141.09557
2.202835266;0.159504407;0.999997697;622765.016;-551429.031;23.925606;659199.5872;659199.5872;47567.9192;1002.92364
1.997365701;0.248002884;0.806441622;945724.625;-846460.478;29.9999772;477968.1311;477968.1311;73018.2152;1523.02964
1.663494976;0.237001931;0.843869815;811910.27;-712539.789;29.9998163;442661.143;442661.143;61465.8156;1307.53009
1.921674787;0.246336782;0.811895735;917803.046;-818528.804;29.9999674;470492.5096;470492.5096;70608.7453;1478.06371
2.047627198;0.225665789;0.886262805;867601.644;-768018.296;29.9998793;460827.9181;460827.9181;66251.5577;1397.21753
1.766251576;0.219599695;0.910725337;773630.89;-673893.203;29.9992509;435735.866;435735.866;58132.0453;1245.88358
1.80660816;0.159450827;0.988825434;554870.365;-484856.078;23.650355;640988.4739;640988.4739;41825.137;893.583598
1.535013548;0.170449404;0.9357322;546416.408;-475934.021;23.9242494;637397.8469;637397.8469;41055.4936;879.969036
2.387158907;0.223570202;0.894572092;943421.044;-843786.28;29.9999495;483026.8824;483026.8824;72787.5309;1519.31987
1.658767025;0.188280574;0.960247966;632711.762;-547330.551;27.1194058;663673.2361;663673.2361;47214.372;1018.94224
2.059145022;0.221041985;0.904800074;851068.091;-751367.53;29.9998207;457408.0694;457408.0694;64815.2128;1370.59129
2.337093372;0.173497802;0.999998863;705630.947;-624948.869;26.0246407;683634.6503;683634.6503;53909.9606;1136.37397
2.115955229;0.162667062;0.999996192;620495.372;-547108.407;24.3999664;659046.7212;659046.7212;47195.2092;999.268518
1.710751461;0.19518364;0.97036672;668559.521;-576671.798;28.4099562;676122.3919;676122.3919;49745.4359;1076.67279
2.243838435;0.159817136;0.999998139;631120.734;-559583.41;23.9725258;661428.6871;661428.6871;48271.3404;1016.37999
1.898203082;0.236104426;0.847080533;871173.667;-771789.603;29.9999195;459397.7918;459397.7918;66576.8819;1402.97004
2.222895448;0.246189428;0.812382189;1001553.02;-902277.667;29.999986;493857.0685;493857.0685;77833.173;1612.93774
1.824408118;0.174725688;0.992224449;614562.677;-534065.68;26.0050649;658869.1534;658869.1534;46070.1046;989.714288
2.163885779;0.231911499;0.862396551;923894.601;-824441.008;29.9999515;475169.8508;475169.8508;71118.7497;1487.87377
1.636589965;0.245702147;0.81399117;835682.828;-736404.507;29.9999067;447810.6542;447810.6542;63524.4576;1345.81429
1.889518051;0.22930341;0.872202383;842128.712;-742625.312;29.999847;452718.567;452718.567;64061.0828;1356.19498
2.314737794;0.240018949;0.833267067;999671.605;-900339.094;29.9999828;494610.6782;494610.6782;77665.9459;1609.90784
2.071936596;0.237504688;0.842087496;923269.984;-823905.676;29.9999592;473712.2284;473712.2284;71072.5704;1486.86786
2.022807094;0.181845707;0.999992708;679934.349;-593330.333;27.2766572;678704.5845;678704.5845;51182.451;1094.99123
2.495063371;0.196654393;0.999999445;839704.283;-741892.174;29.4981426;460808.4058;460808.4058;63997.8402;1352.29059
1.998239695;0.17128691;0.999990162;633493.75;-554337.125;25.6927837;663894.1933;663894.1933;47818.7801;1020.20158
1.825809748;0.16863725;0.992482035;592078.142;-515671.099;25.1054162;651973.2364;651973.2364;44483.333;953.504369
1.698349156;0.190109796;0.967973626;647355.794;-559523.482;27.6031903;668723.2982;668723.2982;48266.1707;1042.52553
1.71672062;0.20921848;0.955686621;722377.51;-622335.962;29.9920953;424086.8834;424086.8834;53684.5633;1163.34325
1.614524303;0.188695221;0.951556328;625220.406;-540838.943;26.9331197;661055.4218;661055.4218;46654.3865;1006.87789
1.53365233;0.155596862;0.93547026;496077.675;-434255.424;21.8334356;624188.2356;624188.2356;37460.1731;798.901692
1.87428714;0.224403799;0.891242705;818946.569;-719333.763;29.9997374;447354.4566;447354.4566;62051.8841;1318.86161
